#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.1.0
LOG_FILE_VERSION : 1.0.3
LOG_CREATION_SV : 2.1.0
SUBJECT_NAME : 221_cyepi
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/1900
DEVICE_PLACEMENT : 
SUBJECT_DESCRIPTION : -
DEVICE_ID : 1607
DEVICE_MODEL : AL0101
HARDWARE_VERSION : 1.0
FIRMWARE_VERSION : 1.2
MEMORY_SIZE : 7963136
LOG_SIZE : 4737080
MEMORY_USAGE : 59.49 %
BATTERY_VOLTAGE : 3.9515
ERROR_FLAG : -
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : -
ORIENTATION : 16
MODE : -
INTERVAL : -
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : None
FILE_DATE_TIME : 30/10/2023 12:15:30
CONNECTION_SYSTEM_DATE_TIME : 30/10/2023 12:13:06
CONNECTION_DEVICE_DATE_TIME : 30/10/2023 13:13:03
DEVICE_PLACEMENT : 
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR
23/10/2023 08:11:50;0;0;23.06;0.00;16;0;0;0;0;0;0;3.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.52;0.00
23/10/2023 08:12:00;0;0;23.06;0.00;16;0;0;0;0;0;0;2.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0005;0.0003;1.23;0.00
23/10/2023 08:12:10;0;0;23.06;0.00;16;0;0;0;0;0;0;2.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0003;1.08;0.00
23/10/2023 08:12:20;0;0;23.06;0.00;16;0;0;0;0;0;0;2.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0003;1.10;0.00
23/10/2023 08:12:30;0;0;23.06;0.00;16;0;0;0;0;0;0;2.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0003;1.12;0.00
23/10/2023 08:12:40;0;0;23.06;0.00;16;0;0;0;0;0;0;2.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0003;1.07;0.00
23/10/2023 08:12:50;0;0;23.06;0.00;16;0;0;0;0;0;0;2.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0003;1.12;0.00
23/10/2023 08:13:00;0;0;23.06;0.00;16;0;0;0;0;0;0;2.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0004;0.0005;0.0003;1.07;0.00
23/10/2023 08:13:10;0;0;23.06;0.00;16;4;0.4;0;0;0;0;2.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0004;0.0004;0.0003;0.98;0.00
23/10/2023 08:13:20;0;0;23.06;0.00;16;0;0;0;0;0;0;1.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0000;0.0001;0.0002;0.0004;0.0003;0.0004;0.0003;0.72;0.00
23/10/2023 08:13:30;0;0;23.06;0.00;16;0;0;0;0;0;0;2.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;186;141;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0005;0.0004;1.26;0.00
23/10/2023 08:13:40;0;0;23.06;0.00;16;0;0;0;0;0;0;3.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.55;0.00
23/10/2023 08:13:50;0;0;23.06;0.00;16;0;0;0;0;0;0;3.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.52;0.00
23/10/2023 08:14:00;0;0;23.06;0.00;16;0;0;0;0;0;0;3.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;188;142;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.54;0.00
23/10/2023 08:14:10;0;0;23.06;0.00;16;0;0;0;0;0;0;3.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.57;0.00
23/10/2023 08:14:20;0;0;23.06;0.00;16;0;0;0;0;0;0;3.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.53;0.00
23/10/2023 08:14:30;0;0;23.06;0.00;16;4;0.4;0;0;0;0;3.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.57;0.00
23/10/2023 08:14:40;0;0;23.06;0.00;16;0;0;0;0;0;0;3.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.55;0.00
23/10/2023 08:14:50;0;0;23.06;0.00;16;0;0;0;0;0;0;3.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;142;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.57;0.00
23/10/2023 08:15:00;0;0;23.06;0.00;16;3;0.3;0;0;0;0;3.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.58;0.00
23/10/2023 08:15:10;0;0;23.06;0.00;16;0;0;0;0;0;0;3.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;142;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.59;0.00
23/10/2023 08:15:20;0;0;23.06;0.00;16;0;0;0;0;0;0;3.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.53;0.00
23/10/2023 08:15:30;0;0;23.06;0.00;16;0;0;0;0;0;0;3.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.60;0.00
23/10/2023 08:15:40;0;0;23.06;0.00;16;0;0;0;0;0;0;3.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0004;1.61;0.00
23/10/2023 08:15:50;0;0;23.06;0.00;16;0;0;0;0;0;0;3.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;188;141;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.65;0.00
23/10/2023 08:16:00;0;0;23.06;0.00;16;0;0;0;0;0;0;3.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;142;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.62;0.00
23/10/2023 08:16:10;0;0;23.06;0.00;16;4;0.4;0;0;0;0;3.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.64;0.00
23/10/2023 08:16:20;0;0;23.06;0.00;16;0;0;0;0;0;0;3.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.66;0.00
23/10/2023 08:16:30;0;0;23.06;0.00;16;0;0;0;0;0;0;3.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;188;141;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.62;0.00
23/10/2023 08:16:40;0;0;23.06;0.00;16;6;0.6;0;0;1;0.1;2.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0006;0.0005;0.0006;0.0004;1.41;0.00
23/10/2023 08:16:50;0;0;23.06;0.00;16;5;0.5;0;0;0;0;2.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0002;0.0003;0.0006;0.0005;0.0006;0.0004;1.44;0.00
23/10/2023 08:17:00;0;0;23.06;0.00;16;4;0.4;0;0;0;0;3.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.76;0.00
23/10/2023 08:17:10;0;0;23.06;0.00;16;0;0;0;0;0;0;3.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.73;0.00
23/10/2023 08:17:20;0;0;23.06;0.00;16;3;0.3;0;0;0;0;3.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.68;0.00
23/10/2023 08:17:30;0;0;23.06;0.00;16;0;0;0;0;0;0;3.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.67;0.00
23/10/2023 08:17:40;0;0;23.06;0.00;16;0;0;0;0;0;0;3.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0005;1.73;0.00
23/10/2023 08:17:50;0;0;23.06;0.00;16;4;0.4;0;0;0;0;3.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0005;1.78;0.00
23/10/2023 08:18:00;0;0;23.06;0.00;16;0;0;0;0;0;0;3.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0005;1.76;0.00
23/10/2023 08:18:10;0;0;23.06;0.00;16;0;0;0;0;0;0;3.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0001;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0005;1.81;0.00
23/10/2023 08:18:20;0;0;23.06;0.00;16;0;0;0;0;0;0;3.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0007;0.0007;0.0007;0.0005;1.77;0.00
23/10/2023 08:18:30;0;0;23.06;0.00;16;0;0;0;0;0;0;3.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0002;0.0003;0.0007;0.0006;0.0007;0.0004;1.63;0.00
